h_abuse_sum,abuse,followers_count,friends_count,friends_to_followers,followers_to_friends,account_verified,favorites_tweets,retweeted,retweet_count,tweet_sensitive,account_lists,mention_count,hashtag_count,age_of_account,recent_account,ratio_follows_sent,ratio_follows_received,mentions_over_tweets,replies_over_users,tweets_per_day,mentions_per_day,badwords,mutual_followers,mutual_followees,mutual_followers_followees,mutual_followees_followers,tweet_invasive
,,843,896,1.06287,0.940848,f,4315,0,0,t,25,1,0,793,0,1.12989,1.06305,1.61538,3,0.0163934,0.0264817,0,5.40019433754028e-05,6.81089856114502e-05,3.73675320987101e-05,6.26624769039907e-05,0
-4,0,843,896,1.06287,0.940848,f,4315,0,0,t,25,2,0,793,0,1.12989,1.06305,1.61538,3,0.0163934,0.0264817,0,5.40019433754028e-05,6.81089856114502e-05,3.73675320987101e-05,6.26624769039907e-05,0
-3,0,843,896,1.06287,0.940848,f,4315,0,2,t,25,2,0,793,0,1.12989,1.06305,1.61538,3,0.0163934,0.0264817,0,5.40019433754028e-05,6.81089856114502e-05,3.73675320987101e-05,6.26624769039907e-05,0
,,843,896,1.06287,0.940848,f,4315,0,2,t,25,2,0,793,0,1.12989,1.06305,1.61538,3,0.0163934,0.0264817,0,5.40019433754028e-05,6.81089856114502e-05,3.73675320987101e-05,6.26624769039907e-05,0
,,843,896,1.06287,0.940848,f,4315,0,2,t,25,1,0,793,0,1.12989,1.06305,1.61538,3,0.0163934,0.0264817,0,5.40019433754028e-05,6.81089856114502e-05,3.73675320987101e-05,6.26624769039907e-05,0
-3,0,843,896,1.06287,0.940848,f,4315,0,5,t,25,1,0,793,0,1.12989,1.06305,1.61538,3,0.0163934,0.0264817,0,5.40019433754028e-05,6.81089856114502e-05,3.73675320987101e-05,6.26624769039907e-05,0
-4,0,843,896,1.06287,0.940848,f,4315,0,0,f,25,2,0,793,0,1.12989,1.06305,1.61538,3,0.0163934,0.0264817,0,5.40019433754028e-05,6.81089856114502e-05,3.73675320987101e-05,6.26624769039907e-05,0
,,250,969,3.876,0.257998,f,3951,1,1,,6,2,0,871,0,1.11251,0.287026,2,1,0.00344432,0.00688863,0,0.000128468006428438,0.000110345474299609,0.000139206499158812,0.000320055968151457,0
,,1857,1524,0.820679,1.2185,f,23276,1,2,f,56,2,0,2546,0,0.598586,0.729379,0.705919,7,1.26748,0.894737,0,0.000108448164672747,0.000132400312344373,0.000114134387646631,0.000111523470282166,0
,,1876,2002,1.06716,0.937063,f,30146,1,2,f,43,1,0,1687,0,1.18672,1.11203,1.48974,0,1.90634,2.83995,0,9.66904459180644e-05,0.000119559670481884,0.000102128516511376,0.000140606513929395,0
,,249,544,2.18474,0.457721,f,119,1,5,,14,0,2,280,0,1.94286,0.889286,0,12,0.00357143,0,0,0.000144626799974848,0.000153736844073445,0.000157414832635362,0.00029106893581633,1
,,2007,3107,1.54808,0.645961,f,86390,1,14,,108,0,2,892,0,3.48318,2.25,0.636392,0,3.60426,2.29372,0,8.88547648142341e-05,7.38636187999505e-05,8.81095520970073e-05,0.000128461173057376,0
,,1871,2035,1.08765,0.91941,f,109708,1,5,,108,0,2,645,0,3.15504,2.90078,0.63676,0,4.97674,3.16899,0,9.96783742177693e-05,0.000111627906976744,0.000100323079918553,0.000122763768847704,0
,,2258,2548,1.12843,0.886185,f,99258,1,1,f,152,3,0,1584,0,1.60859,1.42551,1.11194,0,2.03598,2.26389,0,6.24139732934592e-05,7.02356797253005e-05,6.20966267418809e-05,9.53402754016758e-05,0
,,975,445,0.45641,2.19101,f,49150,1,5,,84,0,2,414,0,1.07488,2.35507,1.5,0,0.00483092,0.00724638,0,0,0,0,0,1
,,1719,2107,1.22571,0.815852,f,63704,1,126,,87,0,0,382,0,5.51571,4.5,0.76833,23,8.49738,6.5288,0,7.46572039821954e-07,1.23224792828317e-05,0,0.000187685078341142,1
,,295,832,2.82034,0.354567,f,18950,1,5,,18,0,2,158,0,5.26582,1.86709,1.5,0,0.0126582,0.0189873,0,0,0,0,0,0
,,2258,2548,1.12843,0.886185,f,99258,1,5,,152,0,2,1584,0,1.60859,1.42551,1.11194,0,2.03598,2.26389,0,6.24139732934592e-05,7.02356797253005e-05,6.20966267418809e-05,9.53402754016758e-05,0
,,27,47,1.74074,0.574468,f,1849,1,14,,5,0,2,77,0,0.61039,0.350649,0,0,0.012987,0,0,0.000152711527923752,0.0001905563451293,0.000165476508700246,0.000140018584284823,1
,,574,960,1.67247,0.597917,f,3606,1,14,,4,0,2,2153,0,0.445889,0.266605,0,0,0.000464468,0,0,9.36971782157808e-07,9.19990002775303e-06,0,1.32768976669835e-06,1
,,747,913,1.22222,0.818182,f,214,1,7,,8,0,1,1433,0,0.637125,0.521284,0,0,0.000697837,0,0,0,0,0,0,1
,,606,529,0.872937,1.14556,f,2525,1,14,,13,0,2,2098,0,0.252145,0.288847,0,0,0.000476644,0,0,0.00014736719299269,0.000205704110707381,0.000163865247661295,0.000191417811427353,1
,,329,553,1.68085,0.594937,f,1754,1,2,,20,0,1,1210,0,0.457025,0.271901,0,3,0.000826446,0,0,2.64415722801383e-05,5.13302156007786e-05,4.51139027971927e-05,7.58436626735414e-05,0
,,409,278,0.679707,1.47122,f,271,1,10,f,23,0,1,678,0,0.41003,0.603245,0,1,0.00147493,0,0,2.41912408117809e-05,6.24451071014684e-05,3.69110334146947e-05,7.14660434199407e-05,0
,,560,1162,2.075,0.481928,f,7056,1,7,,14,1,1,2190,0,0.530594,0.255708,1,3,0.000456621,0.000456621,0,3.10250342826629e-05,5.30005940675283e-05,6.56689493064683e-05,0.000130372178770194,1
,,1605,1239,0.771963,1.2954,f,101394,1,1,f,68,1,0,2786,0,0.444724,0.576095,1.06095,1,1.15434,1.22469,0,0.000565930956423316,0.000801924619085806,0.000462002978058489,0.000462002978058489,1
